Country Name,Country Code,Series Name,Series Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Brunei Darussalam,BRN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,1.84384000301361,3.32213997840881,2.88964009284973,..,3.35321998596191,..,4.42539978027344,..,..,..,..,..,..
Brunei Darussalam,BRN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,15.7385101318359,16.5658493041992,15.3331563578444,17.4270912772504,22.0733483384086,23.4649239797279,30.0799102783203,28.6641292572021,28.6644096374512,31.2433910195239,27.9285989469629,27.7715019255456,29.1961193084717,27.4258937503291,31.1925368707703
Brunei Darussalam,BRN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,6.862,..,..,9.316,8.7,6.6,7.409,4.905,5.191
Brunei Darussalam,BRN,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,100,100,100,99.9463087248322,99.9491094147583,99.9545661063153,99.9556147359077,99.9523809523809,99.9765807962529,99.951888381044,99.9534125320289,99.9594484995945,99.947689625109,99.9122653097035,99.875044626919
Brunei Darussalam,BRN,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0,0,0.0213607594936709,0.043489932885906,0.0424936386768448,0.038391640163562,0.0359520639147803,0.0311904761904762,0.0255269320843091,0.0377676208804426,0.037037037037037,0.0218978102189781,0.0193548387096774,0.0196525706264257,..
Brunei Darussalam,BRN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.08498023715415,1.03571774271613,0.356869132017561,0.13791156316954,0.111766261400307,0.389205053123632,-0.207108731719822,-0.488347420743522,-0.278693265753083,-1.2605056462896,1.02505179290212,-0.390522069165529,1.94031996607184,1.73341388450593,3.68225030604216
Brunei Darussalam,BRN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Brunei Darussalam,BRN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,8.9078,8.0209,7.3795,7.8612,7.6224,7.7892,8.1068,7.3653,7.8994,7.8716,8.0303,7.6035,10.1279,9.9862,9.5371
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.814,74.814,74.82,74.835,74.843,74.854,74.862,74.88,74.905,74.943,74.992,75.049,75.114,74.869,72.917
Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.90071101715114,-1.90025367202547,2.74136439456163,3.74440625524871,0.913135189664487,-2.12478292664558,-2.50788727590711,-0.392383749502031,-2.47791771833224,1.32872661057823,0.0523710418528935,3.86884436177075,1.1335733495246,-1.59076260099606,-1.62833154515108
